username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Trivial soul,823663695037337600,"Emotionally dead, State",2017-01-23 22:48:22,"RT @FerMPalazzo: @TeaPainUSA Nothing angers conservatives like justice for black people, they should repurpose that energy towards the mass…",4,Twitter for iPad,
Stephan Martin,148649366,Kingston Jamaica,2010-05-27 07:18:48,Half their energy could be used to get justice for the battered lady. But they are busy searching the net intimidat… https://t.co/KlaaGiN51g,0,Twitter for iPhone,
Dredd,2229091766,"San Diego, CA",2013-12-04 01:24:02,"RT @FerMPalazzo: @TeaPainUSA Nothing angers conservatives like justice for black people, they should repurpose that energy towards the mass…",4,Twitter for iPhone,
Caleb Heeringa,926427864,"Seattle, WA",2012-11-04 23:47:51,RT @ConnollyMer: 100% Clean “is backed by the largest coalition to have ever supported clean energy legislation in Oregon. This coalition i…,1,Twitter for iPhone,
Meredith Connolly,493585539,"Portland, OR",2012-02-15 23:32:44,100% Clean “is backed by the largest coalition to have ever supported clean energy legislation in Oregon. This coal… https://t.co/95NiG8LY0e,1,Twitter for iPhone,
Jukka P.Seppälä,1731665011,Western Finland,2013-09-05 11:21:03,RT @CarlSiegrist: How #Solar #Energy Policies Could Help More Low-Income Residents https://t.co/ky1JgIJIpp via @pwarburg @cogwbur,1,Twitter for Android,
☀️ Carl Siegrist,456326093,"Bainbridge Island, WA",2012-01-06 03:50:50,How #Solar #Energy Policies Could Help More Low-Income Residents https://t.co/ky1JgIJIpp via @pwarburg @cogwbur,1,TweetDeck,
Faith Action Network,55620752,"Seattle, WA",2009-07-10 17:47:45,Please email your Sens &amp; Reps to join these advocates in urging Congress to enact infrastructure &amp; energy legislati… https://t.co/JERZR0QIno,0,Twitter Web App,
Darlene,1976218423,"Texas, USA",2013-10-20 19:38:08,"RT @dgibbyfit: People celebrating the ""justice"" of George Floyd being served but NO ONE is talking about the innocent 7 year old girl shot…",8,Twitter for Android,
Salt Pepper and Soul,1555275607,"Philadelphia, PA",2013-06-29 09:27:20,"RT @FerMPalazzo: @TeaPainUSA Nothing angers conservatives like justice for black people, they should repurpose that energy towards the mass…",4,Twitter for Android,
Destiny Kelly,833047404018405376,"Portland, OR",2017-02-18 20:15:53,"@DerekSanders I'm sorry it was so bad... I am sending so much postistive and healing energy.
And I, too, am very pl… https://t.co/Qs5h4XCNKe",0,Twitter for Android,
"Professional Student, JD, LLM ⚖️🍷📚🎼",3044364897,,2015-02-18 04:30:37,"RT @FerMPalazzo: @TeaPainUSA Nothing angers conservatives like justice for black people, they should repurpose that energy towards the mass…",4,Twitter for Android,
Snarkier Than Necessary,46719730,A place in need of sanity,2009-06-12 18:54:07,"RT @WAPolicyGreen: LCFS supporters claim to worry about pollution in communities of color.

But the LCFS puts most investment in the wealth…",2,Twitter Web App,
Fernando MoraPalazzo,390985316,Argentina,2011-10-14 21:24:30,"@benshapiro Nothing angers conservatives like justice for black people, they should repurpose that energy towards the massive shootings",0,Twitter for iPhone,
Courtney ❄️,360042905,Canada,2011-08-22 16:01:57,please keep the same energy for every BIPOC that has fallen victim to police brutality/systemic racism. Justice for Makhia Bryant.,0,Twitter for iPhone,
Fernando MoraPalazzo,390985316,Argentina,2011-10-14 21:24:30,"@TeaPainUSA Nothing angers conservatives like justice for black people, they should repurpose that energy towards the massive shootings",4,Twitter for iPhone,
