username,user_url,title,view_num,created_at,video_url,shortdesc,collected_at,img_url
GreenBiz,/user/greenbiz,VERGE Talk: Connecting the dots - why energy justice matters,636,3 years,/watch?v=9CfWH25PIp0,"Energy justice has begun to find its way into the conversation concerning Hawaii's energy transition, but what is energy justice?",2021-04-21 22:44:04.627693,https://i.ytimg.com/vi/9CfWH25PIp0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAzSiDw_wEiKQ0OPS3x58MXptJ3Kw
UC Davis Energy,/channel/UCW3j8gqJ_mAfbbTtRHgFLdA,"The Past, Present and Future of Energy Justice",138,5 months,/watch?v=rS4XEa-hgts,"Energy justice, which according to one definition represents: (a) concerns for evaluating where injustices emerge (distributional ...",2021-04-21 22:44:04.629689,https://i.ytimg.com/vi/rS4XEa-hgts/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjYqlAy2S-6WiocCbzGGZrtcGA9w
Duke University - The Fuqua School of Business,/user/FuquaSchOfBusiness,Duke University Energy Conference: Michael Dworkin on Conceptualizing Energy Justice,681,4 years,/watch?v=OTH0G3sVqEU,"Michael Dworkin, Professor of Law and Founder of the Institute for Energy and the Environment at Vermont Law School, talks ...",2021-04-21 22:44:04.631684,https://i.ytimg.com/vi/OTH0G3sVqEU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBB5VKPlBuzyElImrBaZYyrN3xIsg
Gund Institute for Environment,/user/GundInstitute,Michael Dorsey: Delivering 21st Century Energy Justice,151,4 months,/watch?v=iO4D7jCF6Xg,"How can renewable energy help address deep-rooted issues of injustice? In this lecture, Michael Dorsey, a recognized expert on ...",2021-04-21 22:44:04.632681,https://i.ytimg.com/vi/iO4D7jCF6Xg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCXoM2GGem4gsUB3O_Dl6Um7xRbrA
Yale Center for Business and the Environment,/channel/UCPqZCejv5zOfuMr3prALzVA,Revolutionary Power: An Activist's Guide to the Energy Transition,313,3 months,/watch?v=lFEFrEZKub4,Hear from Revolutionary Power author Shalanda Baker as she discusses her playbook for the energy transformation. She has ...,2021-04-21 22:44:22.125370,https://i.ytimg.com/vi/lFEFrEZKub4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBeFKkhSwpFmKUMaUkhJgB5c4NoAQ
Wes Herche,/channel/UC6OgKLQfCDQLP2w60Nv-R1g,MacArthur 100&Change - What is Energy Justice for Indigenous Communities?,447,4 years,/watch?v=G4rVDQs_WS4,"""What is Energy Justice for Indigenous Communities?"" by Arizona State University - Global Security Initiative for the 2016 ...",2021-04-21 22:44:22.127366,https://i.ytimg.com/vi/G4rVDQs_WS4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDyBWdHU1dQiwpfm5aZtrHWXmbDvw
Kleinman Energy,/channel/UC_OUM8XVDz3HB1cPsf4o3GQ,"Targeting Energy Justice: Race, Renewables, and Efficiency",8,6 days,/watch?v=R7BxpD84Yi4,"Racial disparities in energy affordability and clean energy participation are major energy justice concerns, tied to the persistence ...",2021-04-21 22:44:28.364280,https://i.ytimg.com/vi/R7BxpD84Yi4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAkOD5YrNeQodeeCw9iHvr2Bwq7Hw
Dr. Victoria R Nalule,/channel/UCv0uKKTJ46HyoiebqH7xPEQ,Energy Justice from a Geographical Perspective (3/5),213,2 years,/watch?v=lj6rZf4uFtY,This video by Dr. Victoria Nalule features Dr. Darren McCauley who takes us through the geographical perspective of Energy ...,2021-04-21 22:44:28.366278,https://i.ytimg.com/vi/lj6rZf4uFtY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAt63jj_xdUdVBjgAI7Eq90P-Jgnw
Environment Boston,/channel/UCDj97_kFFCQrq4005hDNjpA,English Energy Justice Webinar,43,5 months,/watch?v=bSWeM_XA_iE,,2021-04-21 22:44:28.369267,https://i.ytimg.com/vi/bSWeM_XA_iE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAllva4B8Sscaqa0AznPSlY_yp-6w
Pecan Street,/channel/UC0wBeDtxuKb7B9kUQuumheA,"Pecan Street Race and Energy Webinar II August 5, 2020",121,8 months,/watch?v=kdNy-ADcyhY,Pecan Street CEO Suzanne Russo moderates a discussion with a distinguished panel of experts on Race and Energy. Guests ...,2021-04-21 22:44:28.374253,https://i.ytimg.com/vi/kdNy-ADcyhY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDo44N0iqlCtEm3omFGBLxB0Ssc-w
CAN-Rac Canada,/channel/UCyWpB_rDYMZ8FvQVPTkjYiQ,Chapter 10: Indigenous Sovereignty & Energy Justice,7,3 weeks,/watch?v=GGXz421Dzng,Part of our Pathways to Zero webinar series.,2021-04-21 22:44:28.376248,https://i.ytimg.com/vi/GGXz421Dzng/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBAO_OGWEwZhc5jdsLETfgkOamf5Q
Environment Boston,/channel/UCDj97_kFFCQrq4005hDNjpA,Vietnamese Energy Justice Webinar,11,5 months,/watch?v=XFnAF7QUzQo,,2021-04-21 22:44:28.378242,https://i.ytimg.com/vi/XFnAF7QUzQo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDTtT0vaa32HML6QFwPztdxt6mphw
Clean Energy Group / Clean Energy States Alliance,/channel/UC6aFsmZNmmb2E-WHOJFCetA,Collaborating with Community-Based Organizations: An Energy Justice Primer for States (3.23.2021),2,4 weeks,/watch?v=6kAhKHvRHh8,Partnerships between state energy agencies and community-based organizations (CBOs) are a key component of advancing ...,2021-04-21 22:44:28.381234,https://i.ytimg.com/vi/6kAhKHvRHh8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDXCD4Na_CZ3DgvfBnOhfKY4gJLdA
Sara Bower,/channel/UChB1LZACuG-V-xZgYLykKHg,Energy Justice Colloquium,12,4 months,/watch?v=Oosseq0ljL0,,2021-04-21 22:44:28.383229,https://i.ytimg.com/vi/Oosseq0ljL0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB07bhKWzSUrvmtbRLdRcjB1HH8oA
Secretariat C4CE,/channel/UCw3yY6vV78HPRg5bkmjZr5Q,C4CE CECongress 2017 - Energy Justice,111,3 years,/watch?v=X8koN1hDOXE,,2021-04-21 22:44:28.385224,https://i.ytimg.com/vi/X8koN1hDOXE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA-yaxOQRlsUm3Pp79mpJmi2OXRXQ
Vision Makers Entertainment,/channel/UCAsjyUoHRgCA5oHVfwvcGhg,PM Modi : India Energy Plans Aims to Ensure Energy Justice _ LIVE Speech _ VM News HD,39,5 months,/watch?v=6BUphb0L8HY,PM Modi : India Energy Plans Aims to Ensure Energy Justice _ LIVE Speech _ VM News HD A Presentation By : Vision Makers ...,2021-04-21 22:44:28.387220,https://i.ytimg.com/vi/6BUphb0L8HY/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA4xNHf119lap3bSDyD34hx03BNuA
